domain	qualname	module	kind	signature
nodes	Nodes.get_outfall_flap_gate	_nodes	method	(self, idx: Union[int, str]) -> bool
nodes	Nodes.get_outfall_param	_nodes	method	(self, idx: Union[int, str]) -> float
nodes	Nodes.get_outfall_route_to	_nodes	method	(self, idx: Union[int, str]) -> int
nodes	Nodes.get_outfall_type	_nodes	method	(self, idx: Union[int, str]) -> int
nodes	Nodes.get_outflow	_nodes	method	(self, idx: Union[int, str]) -> float
nodes	Nodes.get_overflow	_nodes	method	(self, idx: Union[int, str]) -> float
nodes	Nodes.get_overflows_bulk	_nodes	method	(self) -> npt.NDArray[np.float64]
nodes	Nodes.get_ponded_area	_nodes	method	(self, idx: Union[int, str]) -> float
nodes	Nodes.get_quality	_nodes	method	(self, idx: Union[int, str], pollutant_idx: int) -> float
nodes	Nodes.get_quality_bulk	_nodes	method	(self, pollutant_idx: int) -> npt.NDArray[np.float64]
nodes	Nodes.get_stat_max_depth	_nodes	method	(self, idx: Union[int, str]) -> float
nodes	Nodes.get_stat_max_overflow	_nodes	method	(self, idx: Union[int, str]) -> float
nodes	Nodes.get_stat_time_flooded	_nodes	method	(self, idx: Union[int, str]) -> float
nodes	Nodes.get_stat_vol_flooded	_nodes	method	(self, idx: Union[int, str]) -> float
nodes	Nodes.get_storage_curve	_nodes	method	(self, idx: Union[int, str]) -> int
nodes	Nodes.get_storage_functional	_nodes	method	(self, idx: Union[int, str]) -> Tuple[float, float, float]
nodes	Nodes.get_storage_seep_rate	_nodes	method	(self, idx: Union[int, str]) -> float
nodes	Nodes.get_surcharge_depth	_nodes	method	(self, idx: Union[int, str]) -> float
nodes	Nodes.get_type	_nodes	method	(self, idx: Union[int, str]) -> int
nodes	Nodes.get_volume	_nodes	method	(self, idx: Union[int, str]) -> float
nodes	Nodes.pop_last	_nodes	method	(self, node_id: str) -> int
nodes	Nodes.rename	_nodes	method	(self, idx: Union[int, str], new_id: str) -> None
nodes	Nodes.set_depth	_nodes	method	(self, idx: Union[int, str], value: float) -> None
nodes	Nodes.set_depths_bulk	_nodes	method	(self, values: npt.NDArray[np.float64]) -> None
nodes	Nodes.set_divider_type	_nodes	method	(self, idx: Union[int, str], type: int) -> None
nodes	Nodes.set_exfil_params	_nodes	method	(self, idx: Union[int, str], suction: float, ksat: float, imd: float) -> None
nodes	Nodes.set_head_boundary	_nodes	method	(self, idx: Union[int, str], head: float) -> None
nodes	Nodes.set_initial_depth	_nodes	method	(self, idx: Union[int, str], depth: float) -> None
nodes	Nodes.set_invert_elev	_nodes	method	(self, idx: Union[int, str], elev: float) -> None
nodes	Nodes.set_lat_inflows_bulk	_nodes	method	(self, values: npt.NDArray[np.float64]) -> None
nodes	Nodes.set_lateral_inflow	_nodes	method	(self, idx: Union[int, str], flow: float) -> None
nodes	Nodes.set_max_depth	_nodes	method	(self, idx: Union[int, str], depth: float) -> None
nodes	Nodes.set_outfall_flap_gate	_nodes	method	(self, idx: Union[int, str], has_gate: bool) -> None
nodes	Nodes.set_outfall_route_to	_nodes	method	(self, idx: Union[int, str], subcatch_idx: int) -> None
nodes	Nodes.set_outfall_stage	_nodes	method	(self, idx: Union[int, str], stage: float) -> None
nodes	Nodes.set_outfall_tidal	_nodes	method	(self, idx: Union[int, str], curve_idx: int) -> None
nodes	Nodes.set_outfall_timeseries	_nodes	method	(self, idx: Union[int, str], ts_idx: int) -> None
nodes	Nodes.set_outfall_type	_nodes	method	(self, idx: Union[int, str], type: int) -> None
nodes	Nodes.set_pond_area	_nodes	method	(self, idx: Union[int, str], area: float) -> None
nodes	Nodes.set_quality_mass_flux	_nodes	method	(self, idx: Union[int, str], pollutant_idx: int, mass_rate: float) -> None
nodes	Nodes.set_storage_curve	_nodes	method	(self, idx: Union[int, str], curve_idx: int) -> None
nodes	Nodes.set_storage_functional	_nodes	method	(self, idx: Union[int, str], a: float, b: float, c: float) -> None
nodes	Nodes.set_storage_seep_rate	_nodes	method	(self, idx: Union[int, str], rate: float) -> None
nodes	Nodes.set_surcharge_depth	_nodes	method	(self, idx: Union[int, str], depth: float) -> None
output_reader	OutputReader.__enter__	_output_reader	method	(self) -> 'OutputReader'
output_reader	OutputReader.__exit__	_output_reader	method	(self, exc_type: Optional[Type[BaseException]], exc_val: Optional[BaseException], exc_tb: Optional[TracebackType]) -> bool
output_reader	OutputReader.__init__	_output_reader	method	(self, path: str) -> None
output_reader	OutputReader.close	_output_reader	method	(self) -> None
output_reader	OutputReader.get_error_code	_output_reader	method	(self) -> int
output_reader	OutputReader.get_flow_units	_output_reader	method	(self) -> int
output_reader	OutputReader.get_link_attribute	_output_reader	method	(self, link_idx: int, period: int) -> npt.NDArray[np.float32]
output_reader	OutputReader.get_link_count	_output_reader	method	(self) -> int
output_reader	OutputReader.get_link_id	_output_reader	method	(self, index: int) -> str
output_reader	OutputReader.get_link_result	_output_reader	method	(self, period: int, var: int) -> npt.NDArray[np.float32]
output_reader	OutputReader.get_link_series	_output_reader	method	(self, link_idx: int, var: int, start: int, end: int) -> npt.NDArray[np.float32]
output_reader	OutputReader.get_node_attribute	_output_reader	method	(self, node_idx: int, period: int) -> npt.NDArray[np.float32]
output_reader	OutputReader.get_node_count	_output_reader	method	(self) -> int
output_reader	OutputReader.get_node_id	_output_reader	method	(self, index: int) -> str
output_reader	OutputReader.get_node_result	_output_reader	method	(self, period: int, var: int) -> npt.NDArray[np.float32]
output_reader	OutputReader.get_node_series	_output_reader	method	(self, node_idx: int, var: int, start: int, end: int) -> npt.NDArray[np.float32]
output_reader	OutputReader.get_period_count	_output_reader	method	(self) -> int
output_reader	OutputReader.get_period_time	_output_reader	method	(self, period: int) -> float
output_reader	OutputReader.get_pollut_count	_output_reader	method	(self) -> int
output_reader	OutputReader.get_report_step	_output_reader	method	(self) -> int
output_reader	OutputReader.get_start_date	_output_reader	method	(self) -> float
output_reader	OutputReader.get_subcatch_attribute	_output_reader	method	(self, subcatch_idx: int, period: int) -> npt.NDArray[np.float32]
output_reader	OutputReader.get_subcatch_count	_output_reader	method	(self) -> int
output_reader	OutputReader.get_subcatch_id	_output_reader	method	(self, index: int) -> str
output_reader	OutputReader.get_subcatch_result	_output_reader	method	(self, period: int, var: int) -> npt.NDArray[np.float32]
output_reader	OutputReader.get_subcatch_series	_output_reader	method	(self, subcatch_idx: int, var: int, start: int, end: int) -> npt.NDArray[np.float32]
output_reader	OutputReader.get_system_result	_output_reader	method	(self, period: int, var: int) -> float
output_reader	OutputReader.get_system_series	_output_reader	method	(self, var: int, start: int, end: int) -> npt.NDArray[np.float32]
output_reader	OutputReader.get_version	_output_reader	method	(self) -> int
pollutants	Pollutants.__init__	_pollutants	method	(self, solver: Solver) -> None
pollutants	Pollutants._resolve	_pollutants	method	(self, idx: Union[int, str]) -> int
pollutants	Pollutants.add	_pollutants	method	(self, pollut_id: str, units: int) -> int
pollutants	Pollutants.count	_pollutants	method	(self) -> int
pollutants	Pollutants.get_co_pollutant	_pollutants	method	(self, idx: Union[int, str]) -> tuple[int, float]
pollutants	Pollutants.get_gw_conc	_pollutants	method	(self, idx: Union[int, str]) -> float
pollutants	Pollutants.get_id	_pollutants	method	(self, idx: int) -> str
pollutants	Pollutants.get_index	_pollutants	method	(self, pollut_id: str) -> int
pollutants	Pollutants.get_init_conc	_pollutants	method	(self, idx: Union[int, str]) -> float
pollutants	Pollutants.get_kdecay	_pollutants	method	(self, idx: Union[int, str]) -> float
pollutants	Pollutants.get_mwt	_pollutants	method	(self, idx: Union[int, str]) -> float
pollutants	Pollutants.get_rain_conc	_pollutants	method	(self, idx: Union[int, str]) -> float
pollutants	Pollutants.get_rdii_conc	_pollutants	method	(self, idx: Union[int, str]) -> float
pollutants	Pollutants.get_snow_only	_pollutants	method	(self, idx: Union[int, str]) -> bool
pollutants	Pollutants.get_units	_pollutants	method	(self, idx: Union[int, str]) -> int
pollutants	Pollutants.set_co_pollutant	_pollutants	method	(self, idx: Union[int, str], co_idx: int, frac: float) -> None
pollutants	Pollutants.set_gw_conc	_pollutants	method	(self, idx: Union[int, str], conc: float) -> None
pollutants	Pollutants.set_init_conc	_pollutants	method	(self, idx: Union[int, str], conc: float) -> None
pollutants	Pollutants.set_kdecay	_pollutants	method	(self, idx: Union[int, str], k: float) -> None
pollutants	Pollutants.set_link_quality	_pollutants	method	(self, link_idx: Union[int, str], pollut_idx: int, conc: float) -> None
pollutants	Pollutants.set_mwt	_pollutants	method	(self, idx: Union[int, str], mwt: float) -> None
pollutants	Pollutants.set_node_quality	_pollutants	method	(self, node_idx: Union[int, str], pollut_idx: int, conc: float) -> None
pollutants	Pollutants.set_rain_conc	_pollutants	method	(self, idx: Union[int, str], conc: float) -> None
pollutants	Pollutants.set_rdii_conc	_pollutants	method	(self, idx: Union[int, str], conc: float) -> None
pollutants	Pollutants.set_snow_only	_pollutants	method	(self, idx: Union[int, str], flag: bool) -> None
quality	Quality.__init__	_quality	method	(self, solver: Solver) -> None
quality	Quality.buildup_get	_quality	method	(self, lu_idx: int, pollut_idx: int) -> dict
quality	Quality.buildup_set	_quality	method	(self, lu_idx: int, pollut_idx: int, func_type: int, c1: float, c2: float, c3: float, normalizer: int) -> None
quality	Quality.landuse_add	_quality	method	(self, landuse_id: str) -> int
quality	Quality.landuse_count	_quality	method	(self) -> int
quality	Quality.landuse_get_sweep_interval	_quality	method	(self, idx: int) -> float
quality	Quality.landuse_get_sweep_removal	_quality	method	(self, idx: int) -> float
quality	Quality.landuse_id	_quality	method	(self, idx: int) -> str
quality	Quality.landuse_index	_quality	method	(self, id: str) -> int
quality	Quality.landuse_set_sweep_interval	_quality	method	(self, idx: int, days: float) -> None
quality	Quality.landuse_set_sweep_removal	_quality	method	(self, idx: int, frac: float) -> None
quality	Quality.treatment_clear	_quality	method	(self, node_idx: int, pollut_idx: int) -> None
quality	Quality.treatment_get	_quality	method	(self, node_idx: int, pollut_idx: int) -> str
quality	Quality.treatment_set	_quality	method	(self, node_idx: int, pollut_idx: int, expression: str) -> None
quality	Quality.washoff_get	_quality	method	(self, lu_idx: int, pollut_idx: int) -> dict
quality	Quality.washoff_set	_quality	method	(self, lu_idx: int, pollut_idx: int, func_type: int, coeff: float, expon: float, sweep_effic: float, bmp_effic: float) -> None
solver	EngineError.__init__	_solver	method	(self, code: int, message: str='') -> None
solver	Solver.__enter__	_solver	method	(self) -> 'Solver'
solver	Solver.__exit__	_solver	method	(self, exc_type: Optional[Type[BaseException]], exc_val: Optional[BaseException], exc_tb: Optional[TracebackType]) -> bool
solver	Solver.__init__	_solver	method	(self, inp: str='', rpt: str='', out: str='') -> None
solver	Solver.close	_solver	method	(self) -> int
solver	Solver.create	_solver	method	(self) -> None
solver	Solver.destroy	_solver	method	(self) -> None
solver	Solver.elapsed	_solver	property	(self) -> float
solver	Solver.end	_solver	method	(self) -> int
solver	Solver.events_add	_solver	method	(self, start: float, end: float) -> int
solver	Solver.events_clear	_solver	method	(self) -> None
solver	Solver.events_count	_solver	method	(self) -> int
solver	Solver.events_get	_solver	method	(self, idx: int) -> tuple[float, float]
solver	Solver.events_remove	_solver	method	(self, idx: int) -> None
solver	Solver.events_set	_solver	method	(self, idx: int, start: float, end: float) -> None
solver	Solver.get_crs	_solver	method	(self) -> str
solver	Solver.get_current_time	_solver	method	(self) -> float
solver	Solver.get_end_time	_solver	method	(self) -> float
solver	Solver.get_event_count	_solver	method	(self) -> int
solver	Solver.get_option	_solver	method	(self, key: str) -> str
solver	Solver.get_option_ext	_solver	method	(self, key: str) -> str
solver	Solver.get_routing_step	_solver	method	(self) -> float
solver	Solver.get_start_time	_solver	method	(self) -> float
solver	Solver.get_steady_state_skip	_solver	method	(self) -> bool
solver	Solver.handle	_solver	property	(self) -> int
solver	Solver.initialize	_solver	method	(self) -> int
solver	Solver.is_between_events	_solver	method	(self) -> bool
solver	Solver.model_write	_solver	method	(self, path: str) -> None
solver	Solver.open	_solver	method	(self, plugin_lib: Optional[str]=None) -> int
solver	Solver.report	_solver	method	(self) -> int
solver	Solver.set_option	_solver	method	(self, key: str, value: str) -> None
solver	Solver.set_option_ext	_solver	method	(self, key: str, value: str) -> None
solver	Solver.set_steady_state_skip	_solver	method	(self, enabled: bool) -> None
solver	Solver.set_step_begin_callback	_solver	method	(self, callback: Optional[Callable[[float, float], None]]) -> None
solver	Solver.set_step_end_callback	_solver	method	(self, callback: Optional[Callable[[float, float], None]]) -> None
solver	Solver.set_warning_callback	_solver	method	(self, callback: Optional[Callable[[int, str], None]]) -> None
solver	Solver.start	_solver	method	(self, save_results: bool=True) -> int
solver	Solver.state	_solver	property	(self) -> int
solver	Solver.step	_solver	method	(self) -> int
solver	Solver.stride	_solver	method	(self, n_steps: int) -> int
solver	run	_solver	function	(inp: str, rpt: str='', out: str='', plugin_lib: Optional[str]=None) -> int
solver	run_with_callback	_solver	function	(inp: str, rpt: str='', out: str='', callback: Optional[Callable[[float], None]]=None, plugin_lib: Optional[str]=None) -> int
spatial	Spatial.__init__	_spatial	method	(self, solver: Solver) -> None
spatial	Spatial.get_crs	_spatial	method	(self) -> str
spatial	Spatial.get_gage_coord	_spatial	method	(self, idx: int) -> tuple[float, float]
spatial	Spatial.get_link_coord	_spatial	method	(self, idx: int) -> tuple[float, float]
spatial	Spatial.get_link_vertex_count	_spatial	method	(self, idx: int) -> int
spatial	Spatial.get_link_vertices	_spatial	method	(self, idx: int) -> tuple[npt.NDArray[np.float64], npt.NDArray[np.float64]]
spatial	Spatial.get_node_coord	_spatial	method	(self, idx: int) -> tuple[float, float]
spatial	Spatial.get_node_coords_bulk	_spatial	method	(self) -> tuple[npt.NDArray[np.float64], npt.NDArray[np.float64]]
spatial	Spatial.get_subcatch_coord	_spatial	method	(self, idx: int) -> tuple[float, float]
spatial	Spatial.get_subcatch_polygon	_spatial	method	(self, idx: int) -> tuple[npt.NDArray[np.float64], npt.NDArray[np.float64]]
spatial	Spatial.get_subcatch_polygon_count	_spatial	method	(self, idx: int) -> int
spatial	Spatial.set_crs	_spatial	method	(self, crs: str) -> None
spatial	Spatial.set_gage_coord	_spatial	method	(self, idx: int, x: float, y: float) -> None
spatial	Spatial.set_link_coord	_spatial	method	(self, idx: int, x: float, y: float) -> None
spatial	Spatial.set_link_vertices	_spatial	method	(self, idx: int, x: npt.NDArray[np.float64], y: npt.NDArray[np.float64]) -> None
spatial	Spatial.set_node_coord	_spatial	method	(self, idx: int, x: float, y: float) -> None
spatial	Spatial.set_node_coords_bulk	_spatial	method	(self, x: npt.NDArray[np.float64], y: npt.NDArray[np.float64]) -> None
spatial	Spatial.set_subcatch_coord	_spatial	method	(self, idx: int, x: float, y: float) -> None
spatial	Spatial.set_subcatch_polygon	_spatial	method	(self, idx: int, x: npt.NDArray[np.float64], y: npt.NDArray[np.float64]) -> None
statistics	Statistics.__init__	_statistics	method	(self, solver: Solver) -> None
statistics	Statistics.link_max_filling	_statistics	method	(self, idx: int) -> float
statistics	Statistics.link_max_flow	_statistics	method	(self, idx: int) -> float
statistics	Statistics.link_max_flow_bulk	_statistics	method	(self) -> npt.NDArray[np.float64]
statistics	Statistics.link_max_velocity	_statistics	method	(self, idx: int) -> float
statistics	Statistics.link_surcharge_time	_statistics	method	(self, idx: int) -> float
statistics	Statistics.link_vol_flow	_statistics	method	(self, idx: int) -> float
statistics	Statistics.node_max_depth	_statistics	method	(self, idx: int) -> float
statistics	Statistics.node_max_depth_bulk	_statistics	method	(self) -> npt.NDArray[np.float64]
statistics	Statistics.node_max_overflow	_statistics	method	(self, idx: int) -> float
statistics	Statistics.node_time_flooded	_statistics	method	(self, idx: int) -> float
statistics	Statistics.node_vol_flooded	_statistics	method	(self, idx: int) -> float
statistics	Statistics.subcatch_max_runoff	_statistics	method	(self, idx: int) -> float
statistics	Statistics.subcatch_precip	_statistics	method	(self, idx: int) -> float
statistics	Statistics.subcatch_runoff_vol	_statistics	method	(self, idx: int) -> float
statistics	Statistics.subcatch_runoff_vol_bulk	_statistics	method	(self) -> npt.NDArray[np.float64]
subcatchments	Subcatchments.__init__	_subcatchments	method	(self, solver: Solver) -> None
subcatchments	Subcatchments._resolve	_subcatchments	method	(self, idx: Union[int, str]) -> int
subcatchments	Subcatchments.add	_subcatchments	method	(self, sc_id: str) -> int
subcatchments	Subcatchments.count	_subcatchments	method	(self) -> int
subcatchments	Subcatchments.delete	_subcatchments	method	(self, idx: Union[int, str]) -> list
subcatchments	Subcatchments.get_area	_subcatchments	method	(self, idx: Union[int, str]) -> float
subcatchments	Subcatchments.get_coverage	_subcatchments	method	(self, idx: Union[int, str], lu_idx: int) -> float
subcatchments	Subcatchments.get_ds_imperv	_subcatchments	method	(self, idx: Union[int, str]) -> float
subcatchments	Subcatchments.get_ds_perv	_subcatchments	method	(self, idx: Union[int, str]) -> float
subcatchments	Subcatchments.get_evap	_subcatchments	method	(self, idx: Union[int, str]) -> float
subcatchments	Subcatchments.get_gage	_subcatchments	method	(self, idx: Union[int, str]) -> int
subcatchments	Subcatchments.get_groundwater	_subcatchments	method	(self, idx: Union[int, str]) -> float
subcatchments	Subcatchments.get_id	_subcatchments	method	(self, idx: int) -> str
subcatchments	Subcatchments.get_imperv_pct	_subcatchments	method	(self, idx: Union[int, str]) -> float
subcatchments	Subcatchments.get_index	_subcatchments	method	(self, sc_id: str) -> int
subcatchments	Subcatchments.get_infil	_subcatchments	method	(self, idx: Union[int, str]) -> float
subcatchments	Subcatchments.get_infil_curve_number	_subcatchments	method	(self, idx: Union[int, str]) -> float
subcatchments	Subcatchments.get_infil_green_ampt	_subcatchments	method	(self, idx: Union[int, str]) -> Tuple[float, float, float]
subcatchments	Subcatchments.get_infil_horton	_subcatchments	method	(self, idx: Union[int, str]) -> Tuple[float, float, float, float]
subcatchments	Subcatchments.get_infil_model	_subcatchments	method	(self, idx: Union[int, str]) -> int
subcatchments	Subcatchments.get_n_imperv	_subcatchments	method	(self, idx: Union[int, str]) -> float
subcatchments	Subcatchments.get_n_perv	_subcatchments	method	(self, idx: Union[int, str]) -> float
subcatchments	Subcatchments.get_outlet	_subcatchments	method	(self, idx: Union[int, str]) -> int
subcatchments	Subcatchments.get_outlet_subcatch	_subcatchments	method	(self, idx: Union[int, str]) -> int
subcatchments	Subcatchments.get_ponded_quality	_subcatchments	method	(self, idx: Union[int, str], pollutant_idx: int) -> float
subcatchments	Subcatchments.get_quality	_subcatchments	method	(self, idx: Union[int, str], pollutant_idx: int) -> float
subcatchments	Subcatchments.get_quality_bulk	_subcatchments	method	(self, pollutant_idx: int) -> npt.NDArray[np.float64]# 602 Python methods across 23 stubs

subcatchments	Subcatchments.get_rainfall	_subcatchments	method	(self, idx: Union[int, str]) -> float
subcatchments	Subcatchments.get_runoff	_subcatchments	method	(self, idx: Union[int, str]) -> float
subcatchments	Subcatchments.get_runoff_bulk	_subcatchments	method	(self) -> npt.NDArray[np.float64]
subcatchments	Subcatchments.get_slope	_subcatchments	method	(self, idx: Union[int, str]) -> float
subcatchments	Subcatchments.get_snow_depth	_subcatchments	method	(self, idx: Union[int, str]) -> float
subcatchments	Subcatchments.get_stat_max_runoff	_subcatchments	method	(self, idx: Union[int, str]) -> float
subcatchments	Subcatchments.get_stat_precip	_subcatchments	method	(self, idx: Union[int, str]) -> float
subcatchments	Subcatchments.get_stat_runoff_vol	_subcatchments	method	(self, idx: Union[int, str]) -> float
subcatchments	Subcatchments.get_width	_subcatchments	method	(self, idx: Union[int, str]) -> float
subcatchments	Subcatchments.rename	_subcatchments	method	(self, idx: Union[int, str], new_id: str) -> None
subcatchments	Subcatchments.set_area	_subcatchments	method	(self, idx: Union[int, str], area: float) -> None
subcatchments	Subcatchments.set_coverage	_subcatchments	method	(self, idx: Union[int, str], lu_idx: int, fraction: float) -> None
subcatchments	Subcatchments.set_ds_imperv	_subcatchments	method	(self, idx: Union[int, str], ds: float) -> None
subcatchments	Subcatchments.set_ds_perv	_subcatchments	method	(self, idx: Union[int, str], ds: float) -> None
subcatchments	Subcatchments.set_gage	_subcatchments	method	(self, idx: Union[int, str], gage_idx: int) -> None
subcatchments	Subcatchments.set_imperv_pct	_subcatchments	method	(self, idx: Union[int, str], pct: float) -> None
subcatchments	Subcatchments.set_infil_curve_number	_subcatchments	method	(self, idx: Union[int, str], cn: float) -> None
subcatchments	Subcatchments.set_infil_green_ampt	_subcatchments	method	(self, idx: Union[int, str], suction: float, conductivity: float, initial_deficit: float) -> None
subcatchments	Subcatchments.set_infil_horton	_subcatchments	method	(self, idx: Union[int, str], f0: float, fmin: float, decay: float, dry_time: float) -> None
subcatchments	Subcatchments.set_n_imperv	_subcatchments	method	(self, idx: Union[int, str], n: float) -> None
subcatchments	Subcatchments.set_n_perv	_subcatchments	method	(self, idx: Union[int, str], n: float) -> None
subcatchments	Subcatchments.set_outlet	_subcatchments	method	(self, idx: Union[int, str], node_idx: int) -> None
subcatchments	Subcatchments.set_outlet_subcatch	_subcatchments	method	(self, idx: Union[int, str], sc_idx: int) -> None
subcatchments	Subcatchments.set_ponded_quality	_subcatchments	method	(self, idx: Union[int, str], pollutant_idx: int, mass: float) -> None
subcatchments	Subcatchments.set_rainfall	_subcatchments	method	(self, idx: Union[int, str], rainfall: float) -> None
subcatchments	Subcatchments.set_slope	_subcatchments	method	(self, idx: Union[int, str], slope: float) -> None
subcatchments	Subcatchments.set_width	_subcatchments	method	(self, idx: Union[int, str], width: float) -> None
tables	Tables.__init__	_tables	method	(self, solver: Solver) -> None
tables	Tables._resolve	_tables	method	(self, idx: Union[int, str]) -> int
tables	Tables.add_point	_tables	method	(self, idx: Union[int, str], x: float, y: float) -> None
tables	Tables.clear	_tables	method	(self, idx: Union[int, str]) -> None
tables	Tables.count	_tables	method	(self) -> int
tables	Tables.curve_add	_tables	method	(self, curve_id: str, curve_type: int) -> int
tables	Tables.get_id	_tables	method	(self, idx: int) -> str
tables	Tables.get_index	_tables	method	(self, table_id: str) -> int
tables	Tables.get_point	_tables	method	(self, idx: Union[int, str], pt_idx: int) -> tuple[float, float]
tables	Tables.get_point_count	_tables	method	(self, idx: Union[int, str]) -> int
tables	Tables.lookup	_tables	method	(self, idx: Union[int, str], x: float) -> float
tables	Tables.pattern_add	_tables	method	(self, pattern_id: str, pattern_type: int) -> int
tables	Tables.pattern_count	_tables	method	(self) -> int
tables	Tables.pattern_set_factors	_tables	method	(self, idx: int, factors: npt.NDArray[np.float64]) -> None
tables	Tables.timeseries_add	_tables	method	(self, ts_id: str) -> int
